condition,subject,category,switches
IFG,8,Musikinstrumente,18
IFG,28,Gartengeräte,7
IFG,23,Gartengeräte,1
IFG,14,Gartengeräte,7
IFG,26,Gartengeräte,2
IFG,17,Gartengeräte,6
IFG,8,Gartengeräte,11
IFG,28,Möbel,7
IFG,23,Möbel,6
IFG,14,Möbel,7
IFG,26,Möbel,6
IFG,17,Möbel,6
IFG,8,Möbel,21
IFG,28,Spielzeug,8
IFG,23,Spielzeug,4
IFG,14,Spielzeug,6
IFG,26,Spielzeug,5
IFG,17,Spielzeug,5
IFG,8,Spielzeug,24
IFG,19,Berufe,10
IFG,31,Berufe,11
IFG,21,Berufe,9
IFG,24,Berufe,17
IFG,10,Berufe,14
IFG,13,Berufe,16
IFG,19,Getränke,5
IFG,31,Getränke,16
IFG,21,Getränke,12
IFG,24,Getränke,12
IFG,10,Getränke,9
IFG,13,Getränke,8
IFG,19,Kleidungsstücke,14
IFG,31,Kleidungsstücke,18
IFG,21,Kleidungsstücke,16
IFG,24,Kleidungsstücke,15
IFG,10,Kleidungsstücke,11
IFG,13,Kleidungsstücke,9
IFG,19,Geschirr,2
IFG,31,Geschirr,11
IFG,21,Geschirr,13
IFG,24,Geschirr,13
IFG,10,Geschirr,9
IFG,13,Geschirr,6
IFG,19,Insekten,6
IFG,31,Insekten,5
IFG,21,Insekten,4
IFG,24,Insekten,13
IFG,10,Insekten,6
IFG,13,Insekten,5
IFG,19,Kosmetik,8
IFG,31,Kosmetik,5
IFG,21,Kosmetik,14
IFG,24,Kosmetik,7
IFG,10,Kosmetik,6
IFG,13,Kosmetik,5
IFG,12,Autoteile,13
IFG,20,Autoteile,7
IFG,11,Autoteile,5
IFG,18,Autoteile,14
IFG,30,Autoteile,13
IFG,25,Autoteile,15
IFG,12,Gewürze,7
IFG,20,Gewürze,7
IFG,11,Gewürze,9
IFG,18,Gewürze,7
IFG,30,Gewürze,8
IFG,25,Gewürze,8
IFG,12,Lebensmittel,12
IFG,20,Lebensmittel,15
IFG,11,Lebensmittel,9
IFG,18,Lebensmittel,7
IFG,30,Lebensmittel,17
IFG,25,Lebensmittel,23
IFG,12,Bäume,5
IFG,20,Bäume,12
IFG,11,Bäume,7
IFG,18,Bäume,7
IFG,30,Bäume,7
IFG,25,Bäume,3
IFG,12,Blumen,5
IFG,20,Blumen,5
IFG,11,Blumen,0
IFG,18,Blumen,7
IFG,30,Blumen,5
IFG,25,Blumen,5
IFG,12,Werkzeug,4
IFG,20,Werkzeug,8
IFG,11,Werkzeug,4
IFG,18,Werkzeug,4
IFG,30,Werkzeug,9
IFG,25,Werkzeug,10
preSMA,9,Autoteile,14
preSMA,28,Autoteile,15
preSMA,19,Autoteile,12
preSMA,14,Autoteile,16
preSMA,24,Autoteile,22
preSMA,22,Autoteile,10
preSMA,9,Gewürze,9
preSMA,28,Gewürze,6
preSMA,19,Gewürze,5
preSMA,14,Gewürze,11
preSMA,24,Gewürze,8
preSMA,22,Gewürze,8
preSMA,9,Lebensmittel,16
preSMA,28,Lebensmittel,17
preSMA,19,Lebensmittel,11
preSMA,14,Lebensmittel,17
preSMA,24,Lebensmittel,9
preSMA,22,Lebensmittel,11
preSMA,9,Bäume,6
preSMA,28,Bäume,12
preSMA,19,Bäume,6
preSMA,14,Bäume,17
preSMA,24,Bäume,11
preSMA,22,Bäume,7
preSMA,9,Blumen,4
preSMA,19,Blumen,5
preSMA,14,Blumen,11
preSMA,24,Blumen,6
preSMA,22,Blumen,5
preSMA,9,Werkzeug,9
preSMA,28,Werkzeug,8
preSMA,19,Werkzeug,7
preSMA,14,Werkzeug,6
preSMA,24,Werkzeug,7
preSMA,22,Werkzeug,5
preSMA,29,Berufe,11
preSMA,23,Berufe,11
preSMA,15,Berufe,5
preSMA,18,Berufe,14
preSMA,25,Berufe,13
preSMA,8,Berufe,13
preSMA,29,Getränke,14
preSMA,23,Getränke,10
preSMA,15,Getränke,16
preSMA,18,Getränke,6
preSMA,25,Getränke,8
preSMA,8,Getränke,21
preSMA,29,Kleidungsstücke,12
preSMA,23,Kleidungsstücke,14
preSMA,15,Kleidungsstücke,17
preSMA,18,Kleidungsstücke,6
preSMA,25,Kleidungsstücke,13
preSMA,8,Kleidungsstücke,23
preSMA,29,Geschirr,8
preSMA,23,Geschirr,3
preSMA,15,Geschirr,15
preSMA,18,Geschirr,5
preSMA,25,Geschirr,3
preSMA,8,Geschirr,19
preSMA,29,Insekten,7
preSMA,23,Insekten,5
preSMA,15,Insekten,12
preSMA,18,Insekten,11
preSMA,25,Insekten,3
preSMA,8,Insekten,12
preSMA,29,Kosmetik,4
preSMA,23,Kosmetik,3
preSMA,15,Kosmetik,12
preSMA,18,Kosmetik,7
preSMA,25,Kosmetik,10
preSMA,8,Kosmetik,12
preSMA,12,Gemüse,10
preSMA,27,Gemüse,6
preSMA,21,Gemüse,2
preSMA,30,Gemüse,14
preSMA,10,Gemüse,0
preSMA,16,Gemüse,4
preSMA,12,Körperteile,17
preSMA,27,Körperteile,10
preSMA,21,Körperteile,13
preSMA,30,Körperteile,18
preSMA,10,Körperteile,20
preSMA,16,Körperteile,6
preSMA,12,Musikinstrumente,7
preSMA,27,Musikinstrumente,8
preSMA,21,Musikinstrumente,12
preSMA,30,Musikinstrumente,9
preSMA,10,Musikinstrumente,7
preSMA,16,Musikinstrumente,4
preSMA,12,Gartengeräte,6
preSMA,27,Gartengeräte,11
preSMA,21,Gartengeräte,8
preSMA,30,Gartengeräte,6
preSMA,10,Gartengeräte,4
preSMA,16,Gartengeräte,5
preSMA,12,Möbel,7
preSMA,27,Möbel,4
preSMA,21,Möbel,11
preSMA,30,Möbel,13
preSMA,10,Möbel,5
preSMA,16,Möbel,5
preSMA,12,Spielzeug,7
preSMA,27,Spielzeug,7
preSMA,21,Spielzeug,10
preSMA,30,Spielzeug,8
preSMA,10,Spielzeug,9
preSMA,16,Spielzeug,4
preSMA,31,Früchte,15
preSMA,20,Früchte,8
preSMA,11,Früchte,4
preSMA,26,Früchte,10
preSMA,17,Früchte,8
preSMA,13,Früchte,11
preSMA,31,Sportarten,14
preSMA,20,Sportarten,13
preSMA,11,Sportarten,12
preSMA,26,Sportarten,10
preSMA,17,Sportarten,14
preSMA,13,Sportarten,13
preSMA,31,Tiere,14
preSMA,20,Tiere,17
preSMA,11,Tiere,15
preSMA,26,Tiere,16
preSMA,17,Tiere,10
preSMA,13,Tiere,14
preSMA,31,Fische,9
preSMA,20,Fische,8
preSMA,11,Fische,3
preSMA,26,Fische,7
preSMA,17,Fische,8
preSMA,13,Fische,10
preSMA,31,Metalle,6
preSMA,20,Metalle,6
preSMA,11,Metalle,5
preSMA,26,Metalle,2
preSMA,17,Metalle,1
preSMA,13,Metalle,5
preSMA,31,Süßigkeiten,13
preSMA,20,Süßigkeiten,10
preSMA,11,Süßigkeiten,2
preSMA,26,Süßigkeiten,3
preSMA,17,Süßigkeiten,2
preSMA,13,Süßigkeiten,8
